,,Report Time (dynamic),2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06
Country Name,Store Shopping Mission,Brand Name,Impressions,"Δ %, Impressions PP",Discovery Rate,"Δ ppt, Discovery Rate PP",Menu views,"Δ %, Menu Views PP",Menu Engagement Rate,"Δ ppt, Menu Engagement Rate PP",Cart Abandonment Rate,"Δ ppt, Cart Abandonment Rate PP",Conversion Rate,"Δ ppt, Conversion Rate PP",Impressions,"Δ %, Impressions PP",Discovery Rate,"Δ ppt, Discovery Rate PP",Menu views,"Δ %, Menu Views PP",Menu Engagement Rate,"Δ ppt, Menu Engagement Rate PP",Cart Abandonment Rate,"Δ ppt, Cart Abandonment Rate PP",Conversion Rate,"Δ ppt, Conversion Rate PP",Impressions,"Δ %, Impressions PP",Discovery Rate,"Δ ppt, Discovery Rate PP",Menu views,"Δ %, Menu Views PP",Menu Engagement Rate,"Δ ppt, Menu Engagement Rate PP",Cart Abandonment Rate,"Δ ppt, Cart Abandonment Rate PP",Conversion Rate,"Δ ppt, Conversion Rate PP"
Ukraine,Alcohol Stores,SHOPYVO,3338,8.8%,8%,-0.2,279,5.7%,35%,3.7,33%,3.7,24%,1.3,3069,-33.3%,9%,3.5,264,12.3%,31%,-4.7,29%,0.7,22%,-3.6,4601,,5%,,235,,36%,,28%,,26%,
Ukraine,Alcohol Stores,VINNYTSKE PUVO,1760,41.1%,7%,-1.7,130,15.0%,52%,-6.,12%,-6.5,45%,-1.5,1247,-21.7%,9%,0.5,113,-16.9%,58%,9.,18%,-7.3,47%,10.9,1593,,9%,,136,,49%,,26%,,36%,
Ukraine,Alcohol Stores,PYVNA HAVAN,9140,9.2%,3%,-0.6,281,-7.9%,29%,-9.9,31%,-2.2,20%,-6.,8367,11.1%,4%,0.4,305,23.5%,39%,7.1,33%,12.5,26%,0.8,7528,,3%,,247,,32%,,21%,,25%,
Ukraine,Alcohol Stores,PO PYVKU,15316,76.1%,4%,1.,561,138.7%,15%,-6.1,57%,17.9,6%,-6.3,8699,109.4%,3%,-1.6,235,30.6%,21%,7.,39%,-29.2,13%,8.3,4155,,4%,,180,,14%,,68%,,4%,
Ukraine,Alcohol Stores,TOP BEER,11169,27.3%,3%,-0.1,324,22.3%,21%,-3.5,36%,-6.4,13%,-0.7,8774,27.1%,3%,-0.9,265,-2.6%,24%,-3.4,42%,2.2,14%,-2.6,6905,,4%,,272,,28%,,40%,,17%,
Ukraine,Alcohol Stores,PYVO MAN,7932,69.4%,3%,0.3,253,84.7%,36%,-2.4,34%,3.7,23%,-3.,4682,-0.5%,3%,-1.5,137,-33.8%,38%,2.2,31%,1.,26%,1.2,4707,,4%,,207,,36%,,30%,,25%,
Ukraine,Grocery Stores,SHARLOTKA_,6210,85.7%,4%,-0.8,236,54.2%,21%,0.5,27%,-12.2,15%,2.8,3345,29.6%,5%,-0.3,153,21.4%,20%,7.6,39%,20.,12%,2.1,2581,,5%,,126,,13%,,19%,,10%,
Ukraine,Alcohol Stores,BEER SHOP VINNITSYA,9990,14.9%,2%,-1.1,236,-20.8%,29%,0.4,32%,9.8,20%,-2.6,8693,-39.5%,3%,-0.7,298,-49.4%,29%,3.1,22%,-9.5,22%,4.8,14357,,4%,,589,,26%,,32%,,18%,
Ukraine,Alcohol Stores,PYVO L BEER BAR,4557,112.0%,4%,-1.3,169,57.9%,17%,-4.9,21%,4.,13%,-4.7,2150,-3.5%,5%,-1.4,107,-24.6%,21%,-3.9,17%,-4.8,18%,-2.,2229,,6%,,142,,25%,,22%,,20%,
Ukraine,Alcohol Stores,JERKINS AND BEER,8776,-6.1%,2%,0.3,203,5.7%,31%,-8.,16%,-8.1,26%,-3.6,9346,1.5%,2%,-0.4,192,-15.0%,39%,2.3,24%,-7.3,30%,4.5,9210,,2%,,226,,37%,,31%,,25%,
Ukraine,Specialty Stores,COFFEE STORY,4333,59.6%,6%,-3.1,242,3.0%,32%,-7.8,35%,12.3,21%,-10.,2715,123.5%,9%,-1.6,235,88.0%,40%,-0.8,22%,2.7,31%,-1.7,1215,,10%,,125,,41%,,20%,,33%,
Ukraine,Alcohol Stores,MAHAZYN-KAFE BAVARIA,8632,1.4%,3%,0.2,225,8.2%,20%,-8.4,39%,5.8,12%,-6.8,8514,64.2%,2%,-1.2,208,10.6%,29%,2.8,33%,-5.4,19%,3.3,5186,,4%,,188,,26%,,39%,,16%,
Ukraine,Alcohol Stores,BEER GODS,10548,587.2%,3%,-2.1,354,326.5%,13%,1.2,47%,16.8,7%,-1.4,1535,,5%,,83,,12%,,30%,,8%,,,,,,,,,,,,,
Ukraine,Alcohol Stores,CRAFT BEER DNIPRO,15438,-4.2%,2%,0.2,303,5.6%,27%,0.6,32%,-3.8,18%,1.4,16110,-12.8%,2%,0.,287,-11.4%,26%,1.2,36%,13.6,17%,-2.7,18485,,2%,,324,,25%,,22%,,20%,
