,,Report Time (dynamic),2026-06,2026-06,2026-06,2026-06,2026-07,2026-07,2026-07,2026-07,2026-08,2026-08,2026-08,2026-08
Country Name,Store Shopping Mission,Brand Name,Active Users,"Δ %, Active Users PP",Frequency,"Δ %, Frequency PP",Active Users,"Δ %, Active Users PP",Frequency,"Δ %, Frequency PP",Active Users,"Δ %, Active Users PP",Frequency,"Δ %, Frequency PP"
Ukraine,Alcohol Stores,PYVKO NA PISHCHANOMU,1,-66.7%,1.,-50.0%,3,-40.0%,2.,25.0%,5,,1.6,
Ukraine,Specialty Stores,CBD LOVER,2,0.0%,1.,0.0%,2,-60.0%,1.,-44.4%,5,,1.8,
Ukraine,Alcohol Stores,BRO-BEER,2,,1.,,,,,,,,,
Ukraine,Alcohol Stores,PIVOVAR,2,-92.9%,1.,-56.3%,28,86.7%,2.29,27.0%,15,,1.8,
Ukraine,Grocery Stores,KHMELNYI LEV,2,-33.3%,1.,-25.0%,3,-25.0%,1.33,33.3%,4,,1.,
Ukraine,Flower Shops,ODA FLOWERS,1,-83.3%,1.,-14.3%,6,100.0%,1.17,16.7%,3,,1.,
Ukraine,Flower Shops,KATRIN'S FLOWERS,1,0.0%,1.,0.0%,1,0.0%,1.,0.0%,1,,1.,
Ukraine,Flower Shops,LAVENDER BY LK,1,,1.,,,,,,,,,
Ukraine,Specialty Stores,SINEMA SITI,3,-72.7%,1.,-21.4%,11,-15.4%,1.27,-12.9%,13,,1.46,
Ukraine,Specialty Stores,KAVALER TUTI,1,-50.0%,1.,-60.0%,2,-33.3%,2.5,150.0%,3,,1.,
Ukraine,Convenience Stores,CRAFT BEER MARKET,1,,1.,,,,,,1,,1.,
Ukraine,Alcohol Stores,HMILNYJ,1,0.0%,1.,0.0%,1,-50.0%,1.,0.0%,2,,1.,
Ukraine,Alcohol Stores,BEERBERSHOP,1,,1.,,,,,,,,,
Ukraine,Pet Shops,REPTO BOUTIQUE,1,-50.0%,1.,0.0%,2,,1.,,,,,
Ukraine,Convenience Stores,OKKO MARKET,,,,,48,-94.5%,1.23,-3.4%,878,,1.27,
Ukraine,Specialty Stores,MEAL TIME,,,,,,,,,57,,1.54,
Ukraine,Alcohol Stores,PIVASOV,,,,,37,-24.5%,1.16,-23.0%,49,,1.51,
Ukraine,Alcohol Stores,BEER GODS,,,,,7,-63.2%,1.14,-16.5%,19,,1.37,
Ukraine,Flower Shops,SELINA FLOWERS,,,,,4,33.3%,1.,0.0%,3,,1.,
Ukraine,Tobacco Stores,VAPESEE,,,,,,,,,21,,1.05,
Ukraine,Tobacco Stores,PARA RIVNE,,,,,,,,,14,,1.07,
Ukraine,Grocery Stores,SPAR,,,,,2,-75.0%,1.,-42.9%,8,,1.75,
Ukraine,Alcohol Stores,BEER CLUB LVIV,,,,,1,-94.1%,1.,-5.6%,17,,1.06,
Ukraine,Tobacco Stores,CLOUD_HUB,,,,,,,,,14,,1.21,
Ukraine,Alcohol Stores,SMAK PYVA,,,,,3,-62.5%,1.33,-11.1%,8,,1.5,
Ukraine,Flower Shops,LAVANDA FLOWERS,,,,,1,-50.0%,1.,0.0%,2,,1.,
Ukraine,Alcohol Stores,PYVNI TRADYTSII,,,,,,,,,5,,1.4,
Ukraine,Alcohol Stores,BEERWOLF,,,,,1,-80.0%,1.,-37.5%,5,,1.6,
Ukraine,Flower Shops,FLORA DEN,,,,,,,,,2,,1.,
Ukraine,Alcohol Stores,VYNO UKRAINY,,,,,,,,,1,,1.,
Ukraine,Alcohol Stores,3.14VO,,,,,,,,,4,,1.,
Ukraine,Grocery Stores,CHAI_PV,,,,,,,,,1,,1.,
Ukraine,Alcohol Stores,LOCATSIA 2 ALCOHOL,,,,,1,0.0%,1.,0.0%,1,,1.,
Ukraine,Flower Shops,MILLION FLOWERS,,,,,,,,,1,,1.,
